﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
ABLON;87545269;SAM;2025-08-02;2025;C;C;Après 20h;118
AEROPORT-CHARLES-DE-GAULLE-2-(TERMINAL-2);87001479;JOB;2023-10-10;2023;B;B;De 16h à 20h;3868
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;SAM;2019-03-16;2019;B;B;Avant 6h;82
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;DIM;2019-03-17;2019;B;B;Avant 6h;70
AEROPORT-CHARLES-DE-GAULLE-2-(TERMINAL-2);87001479;SAM;2019-03-23;2019;B;B;De 16h à 20h;3376
AMEDEE-GORDINI;87745844;SAM;2024-11-30;2024;T12;T12;De 16h à 20h;262
ARBORETUM;87704320;JOB;2021-09-21;2021;T4;T4;De 6h à 10h;197
ARBORETUM;87704320;SAM;2021-11-09;2021;T4;T4;De 16h à 20h;144
ARBORETUM;87704320;DIM;2021-12-09;2021;T4;T4;Après 20h;30
ARGENTEUIL;87381848;JOB;2024-01-16;2024;J;J4;Avant 6h;387
ARGENTEUIL;87381848;SAM;2024-01-20;2024;J;J4;De 6h à 10h;1159
ATHIS-MONS;87545251;DIM;2025-09-02;2025;C;C;De 6h à 10h;170
AUVERS-SUR-OISE;87276543;SAM;2024-01-20;2024;H;H;De 10h à 16h;56
AUVERS-SUR-OISE;87276543;DIM;2024-01-21;2024;H;H;De 16h à 20h;77
AVENUE-DU-PRESIDENT-KENNEDY-MAISON-DE-RADIO-FRANCE;87543207;SAM;2025-08-02;2025;C;C;De 6h à 10h;92
BECON-LES-BRUYERES;87382002;JOB;2024-01-16;2024;L;L3;De 6h à 10h;2862
BELLEVUE;87393116;DIM;2024-01-21;2024;N;N;Avant 6h;0
BELLEVUE;87393116;SAM;2024-01-20;2024;N;N;De 6h à 10h;197
BESSANCOURT;87276642;SAM;2024-01-20;2024;H;H;De 10h à 16h;332
BIBLIOTHEQUE-FRANCOIS-MITTERRAND;87328328;DIM;2025-09-02;2025;C;C;Avant 6h;159
BIEVRES;87393546;SAM;2025-08-02;2025;C;V;De 16h à 20h;78
BIEVRES;87393546;SAM;2025-08-02;2025;C;V;De 6h à 10h;85
BOIS-LE-ROI;87682203;SAM;2024-01-20;2024;R;R;Avant 6h;7
BOIS-BRIARD;87746024;DIM;2024-01-12;2024;T12;T12;Après 20h;6
BOISSY-L'AILLERIE;87381152;JOB;2024-01-16;2024;J;J6;De 10h à 16h;86
BIBLIOTHEQUE-FRANCOIS-MITTERRAND;87328328;JOB;2025-06-02;2025;C;C;Après 20h;5727
BREUILLET-BRUYERES-LE-CHATEL;87545483;SAM;2025-08-02;2025;C;C;De 6h à 10h;78
BOUFFEMONT-MOISSELLES;87276485;DIM;2024-01-21;2024;H;H;De 6h à 10h;105
CERGY-LE-HAUT;87382655;DIM;2022-11-20;2022;A;A;De 10h à 16h;1667
BOIS-LE-ROI;87682203;JOB;2024-01-16;2024;R;R;De 6h à 10h;1202
BONDY;87113407;SAM;2021-09-18;2021;T4;T4;Avant 6h;26
BOUGIVAL;87382440;JOB;2024-01-16;2024;L;L2;De 6h à 10h;807
BOUTIGNY;87681478;JOB;2024-12-03;2024;D;D;De 6h à 10h;191
CHAMP-DE-COURSES-D'ENGHIEN;87276030;SAM;2024-01-20;2024;H;H;Après 20h;246
BUNO-GIRONVILLE;87681510;JOB;2024-12-03;2024;D;D;De 6h à 10h;58
BUNO-GIRONVILLE;87681510;SAM;2024-02-03;2024;D;D;Avant 6h;0
CERGY-LE-HAUT;87382655;SAM;2022-11-19;2022;A;A;De 16h à 20h;1667
CERGY-SAINT-CHRISTOPHE;87382499;JOB;2022-11-30;2022;A;A;De 6h à 10h;2920
CERNAY;87276063;JOB;2025-06-02;2025;C;C;De 16h à 20h;665
CHARTRETTES;87682419;JOB;2024-01-16;2024;R;R;Avant 6h;4
BRUYERES-SUR-OISE;87276451;JOB;2024-01-16;2024;H;H;Avant 6h;2
CHAMP-DE-COURSES-D'ENGHIEN;87276030;SAM;2024-01-20;2024;H;H;De 16h à 20h;634
CHATEAU-THIERRY;87116582;DIM;2023-09-17;2023;P;P;De 16h à 20h;213
CHAMP-DE-COURSES-D'ENGHIEN;87276030;SAM;2024-01-20;2024;H;H;De 6h à 10h;457
CHAVILLE-VELIZY;87393173;DIM;2025-09-02;2025;C;C;De 16h à 20h;428
CHANTILLY-GOUVIEUX;87276113;JOB;2024-05-03;2024;D;D;De 16h à 20h;19
CHELLES-GOURNAY;87116111;SAM;2023-11-18;2023;P;P;De 16h à 20h;1209
CLICHY-LEVALLOIS;87381129;DIM;2024-01-21;2024;L;L2;De 10h à 16h;1074
CLICHY-LEVALLOIS;87381129;SAM;2024-01-20;2024;L;L2;Avant 6h;19
CHAVILLE-RIVE-DROITE;87382333;DIM;2024-01-21;2024;L;L2;Après 20h;111
CLICHY-MONTFERMEIL;87704304;SAM;2021-11-09;2021;T4;T4;De 16h à 20h;265
COMPANS;87272047;DIM;2024-01-21;2024;K;K;De 10h à 16h;2
COMBS-LA-VILLE-QUINCY;87682146;SAM;2024-02-03;2024;D;D;Après 20h;311
COMPANS;87272047;SAM;2024-01-20;2024;K;K;De 6h à 10h;8
CHAVILLE-RIVE-GAUCHE;87393207;JOB;2024-01-16;2024;N;N;De 16h à 20h;379
CONFLANS-SAINTE-HONORINE;87381897;DIM;2024-01-21;2024;J;J6;De 6h à 10h;471
COMPANS;87272047;DIM;2024-01-21;2024;K;K;Après 20h;1
